idx,review,gold,raw_output,parsed_json,predicted,valid_json
0,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
1,Decent place. Portion sizes were small but taste was good.,3,"{""predicted_stars"":3, ""explanation"":""Good taste but small portion sizes affect overall experience.""}","{""predicted_stars"": 3, ""explanation"": ""Good taste but small portion sizes affect overall experience.""}",3,True
2,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive experience with fantastic dessert.""}",4,True
3,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}",2,True
4,Order was wrong and they didn't fix it.,1,"{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}","{""predicted_stars"": 2, ""explanation"": ""Order was wrong and not corrected.""}",2,True
5,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives, excellent food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives, excellent food and service.""}",5,True
6,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives, excellent food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives, excellent food and service.""}",5,True
7,The food was amazing and service was excellent.,5,"{""predicted_stars"":5, ""explanation"":""Both food and service received high praise.""}","{""predicted_stars"": 5, ""explanation"": ""Both food and service received high praise.""}",5,True
8,The food was amazing and service was excellent. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with no negatives, excellent food and service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with no negatives, excellent food and service.""}",5,True
9,Perfect for a quick lunch. Will return.,4,"{""predicted_stars"":5, ""explanation"":""Positive sentiment, indicating satisfaction with the experience.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment, indicating satisfaction with the experience.""}",5,True
10,Great ambiance and prompt service. Highly recommend.,5,"{""predicted_stars"":5, ""explanation"":""Positive sentiment with great ambiance and prompt service.""}","{""predicted_stars"": 5, ""explanation"": ""Positive sentiment with great ambiance and prompt service.""}",5,True
11,Had a nice time; dessert was fantastic.,5,"{""predicted_stars"": 4, ""explanation"": ""Positive sentiment with a highlight on dessert.""}","{""predicted_stars"": 4, ""explanation"": ""Positive sentiment with a highlight on dessert.""}",4,True
12,Great ambiance and prompt service. Not satisfied.,5,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with positive ambiance but negative satisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with positive ambiance but negative satisfaction.""}",3,True
13,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff indicate a very negative experience.""}",1,True
14,Staff was friendly but the food was average. Not satisfied.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with average food and dissatisfaction.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with average food and dissatisfaction.""}",3,True
15,Staff was friendly but the food was average.,3,"{""predicted_stars"":3, ""explanation"":""Friendly staff but average food leads to a mixed experience.""}","{""predicted_stars"": 3, ""explanation"": ""Friendly staff but average food leads to a mixed experience.""}",3,True
16,Not worth the price.,2,"{""predicted_stars"":1,""explanation"":""Negative sentiment indicates dissatisfaction with value.""}","{""predicted_stars"": 1, ""explanation"": ""Negative sentiment indicates dissatisfaction with value.""}",1,True
17,Terrible experience — cold food and rude staff.,1,"{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}","{""predicted_stars"": 1, ""explanation"": ""Cold food and rude staff led to a terrible experience.""}",1,True
18,Staff was friendly but the food was average. Could be better.,3,"{""predicted_stars"":3, ""explanation"":""Mixed sentiment with average food quality.""}","{""predicted_stars"": 3, ""explanation"": ""Mixed sentiment with average food quality.""}",3,True
19,Not worth the price.,2,"{""predicted_stars"":1,""explanation"":""Negative sentiment indicates dissatisfaction with value.""}","{""predicted_stars"": 1, ""explanation"": ""Negative sentiment indicates dissatisfaction with value.""}",1,True
